"user","adopt.idx","true.topic","true.decision","true.brand","item"
1,1,1,0,NA,5
1,2,1,0,NA,4
1,3,1,0,NA,1
1,4,1,0,NA,6
1,5,1,0,NA,6
1,6,1,0,NA,7
1,7,1,0,NA,1
1,8,1,0,NA,1
1,9,1,0,NA,2
1,10,1,0,NA,8
1,11,1,0,NA,10
1,12,1,0,NA,4
1,13,1,0,NA,7
1,14,1,0,NA,5
1,15,1,0,NA,9
1,16,1,0,NA,1
1,17,1,0,NA,9
1,18,1,0,NA,10
1,19,1,0,NA,2
1,20,1,0,NA,8
1,21,1,0,NA,4
1,22,1,0,NA,7
1,23,1,0,NA,3
1,24,1,0,NA,2
1,25,1,0,NA,9
1,26,1,0,NA,2
1,27,1,0,NA,7
1,28,1,0,NA,3
1,29,1,0,NA,8
1,30,1,0,NA,1
1,31,1,0,NA,4
1,32,1,0,NA,6
1,33,1,0,NA,5
1,34,1,0,NA,6
1,35,1,0,NA,5
1,36,1,0,NA,3
1,37,1,0,NA,2
1,38,1,0,NA,6
1,39,1,0,NA,2
1,40,1,0,NA,4
1,41,1,0,NA,10
1,42,1,0,NA,4
1,43,1,0,NA,9
1,44,1,0,NA,9
1,45,1,0,NA,10
1,46,1,0,NA,1
1,47,1,0,NA,1
1,48,1,0,NA,3
1,49,1,0,NA,1
1,50,1,0,NA,3
1,51,1,0,NA,10
1,52,1,0,NA,6
1,53,1,0,NA,7
1,54,1,0,NA,7
1,55,1,0,NA,5
1,56,1,0,NA,9
1,57,1,0,NA,5
1,58,1,0,NA,2
1,59,1,0,NA,9
1,60,1,0,NA,3
1,61,1,0,NA,3
1,62,1,0,NA,4
1,63,1,0,NA,4
1,64,1,0,NA,8
1,65,1,0,NA,3
1,66,1,0,NA,5
1,67,1,0,NA,8
1,68,1,0,NA,8
1,69,1,0,NA,6
1,70,1,0,NA,10
1,71,1,0,NA,10
1,72,1,0,NA,9
1,73,1,0,NA,7
1,74,1,0,NA,8
1,75,1,0,NA,2
1,76,1,0,NA,10
1,77,1,0,NA,6
1,78,1,0,NA,4
1,79,1,0,NA,1
1,80,1,0,NA,8
1,81,1,0,NA,4
1,82,1,0,NA,8
1,83,1,0,NA,1
1,84,1,0,NA,8
1,85,1,0,NA,2
1,86,1,0,NA,1
1,87,1,0,NA,6
1,88,1,0,NA,8
1,89,1,0,NA,5
1,90,1,0,NA,10
1,91,1,0,NA,5
1,92,1,0,NA,9
1,93,1,0,NA,6
1,94,1,0,NA,8
1,95,1,0,NA,10
1,96,1,0,NA,10
1,97,1,0,NA,8
1,98,1,0,NA,10
1,99,1,0,NA,10
1,100,1,0,NA,2
2,1,1,0,NA,6
2,2,1,0,NA,3
2,3,1,0,NA,3
2,4,1,0,NA,9
2,5,1,0,NA,4
2,6,1,0,NA,7
2,7,1,0,NA,8
2,8,1,0,NA,5
2,9,1,0,NA,4
2,10,1,0,NA,10
2,11,1,0,NA,6
2,12,1,0,NA,7
2,13,1,0,NA,10
2,14,1,0,NA,8
2,15,1,0,NA,5
2,16,1,0,NA,4
2,17,1,0,NA,4
2,18,1,0,NA,4
2,19,1,0,NA,8
2,20,1,0,NA,3
2,21,1,0,NA,2
2,22,1,0,NA,9
2,23,1,0,NA,8
2,24,1,0,NA,9
2,25,1,0,NA,4
2,26,1,0,NA,9
2,27,1,0,NA,2
2,28,1,0,NA,7
2,29,1,0,NA,5
2,30,1,0,NA,8
2,31,1,0,NA,10
2,32,1,0,NA,4
2,33,1,0,NA,5
2,34,1,0,NA,3
2,35,1,0,NA,1
2,36,1,0,NA,5
2,37,1,0,NA,8
2,38,1,0,NA,5
2,39,1,0,NA,1
2,40,1,0,NA,10
2,41,1,0,NA,9
2,42,1,0,NA,8
2,43,1,0,NA,5
2,44,1,0,NA,5
2,45,1,0,NA,4
2,46,1,0,NA,4
2,47,1,0,NA,1
2,48,1,0,NA,3
2,49,1,0,NA,5
2,50,1,0,NA,3
2,51,1,0,NA,3
2,52,1,0,NA,2
2,53,1,0,NA,3
2,54,1,0,NA,3
2,55,1,0,NA,8
2,56,1,0,NA,8
2,57,1,0,NA,9
2,58,1,0,NA,10
2,59,1,0,NA,1
2,60,1,0,NA,2
2,61,1,0,NA,2
2,62,1,0,NA,4
2,63,1,0,NA,5
2,64,1,0,NA,3
2,65,1,0,NA,5
2,66,1,0,NA,3
2,67,1,0,NA,9
2,68,1,0,NA,3
2,69,1,0,NA,7
2,70,1,0,NA,9
2,71,1,0,NA,10
2,72,1,0,NA,7
2,73,1,0,NA,8
2,74,1,0,NA,3
2,75,1,0,NA,7
2,76,1,0,NA,5
2,77,1,0,NA,5
2,78,1,0,NA,5
2,79,1,0,NA,4
2,80,1,0,NA,5
2,81,1,0,NA,6
2,82,1,0,NA,1
2,83,1,0,NA,2
2,84,1,0,NA,9
2,85,1,0,NA,3
2,86,1,0,NA,3
2,87,1,0,NA,8
2,88,1,0,NA,9
2,89,1,0,NA,6
2,90,1,0,NA,8
2,91,1,0,NA,5
2,92,1,0,NA,3
2,93,1,0,NA,4
2,94,1,0,NA,5
2,95,1,0,NA,8
2,96,1,0,NA,1
2,97,1,0,NA,2
2,98,1,0,NA,1
2,99,1,0,NA,4
2,100,1,0,NA,6
3,1,1,1,2,8
3,2,1,1,1,3
3,3,1,1,1,5
3,4,1,1,2,10
3,5,1,1,2,7
3,6,1,1,1,4
3,7,1,1,2,7
3,8,1,1,1,5
3,9,1,1,2,8
3,10,1,1,2,9
3,11,1,1,1,5
3,12,1,1,1,2
3,13,1,1,1,2
3,14,1,1,2,9
3,15,1,1,2,9
3,16,1,1,2,10
3,17,1,1,1,4
3,18,1,1,2,9
3,19,1,1,2,10
3,20,1,1,2,6
3,21,1,1,1,3
3,22,1,1,1,1
3,23,1,1,1,2
3,24,1,1,1,4
3,25,1,1,2,6
3,26,1,1,1,5
3,27,1,1,2,9
3,28,1,1,1,3
3,29,1,1,2,8
3,30,1,1,2,10
3,31,1,1,2,7
3,32,1,1,2,8
3,33,1,1,2,10
3,34,1,1,1,5
3,35,1,1,1,4
3,36,1,1,2,10
3,37,1,1,2,8
3,38,1,1,2,9
3,39,1,1,1,2
3,40,1,1,2,7
3,41,1,1,1,4
3,42,1,1,2,8
3,43,1,1,1,1
3,44,1,1,1,2
3,45,1,1,1,1
3,46,1,1,1,2
3,47,1,1,2,7
3,48,1,1,2,10
3,49,1,1,2,7
3,50,1,1,2,9
3,51,1,1,1,5
3,52,1,1,2,6
3,53,1,1,1,4
3,54,1,1,1,2
3,55,1,1,2,8
3,56,1,1,1,2
3,57,1,1,1,2
3,58,1,1,2,6
3,59,1,1,1,4
3,60,1,1,2,10
3,61,1,1,1,2
3,62,1,1,1,2
3,63,1,1,1,4
3,64,1,1,2,6
3,65,1,1,2,8
3,66,1,1,1,3
3,67,1,1,1,4
3,68,1,1,2,10
3,69,1,1,2,9
3,70,1,1,2,9
3,71,1,1,2,6
3,72,1,1,1,5
3,73,1,1,2,7
3,74,1,1,2,9
3,75,1,1,2,8
3,76,1,1,1,2
3,77,1,1,2,6
3,78,1,1,2,10
3,79,1,1,1,3
3,80,1,1,2,10
3,81,1,1,2,6
3,82,1,1,1,4
3,83,1,1,1,4
3,84,1,1,1,4
