[0.09974020783373302, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[0.10133892885691448, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[0.09614308553157475, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[0.09694244604316547, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[0.10173860911270984, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[0.11173061550759393, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[0.09934052757793765, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[0.09734212629896083, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[0.09734212629896083, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[0.0977418065547562, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 0.10353717026378897, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 0.0989408473221423, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 0.11452837729816148, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 0.10393685051958433, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 0.09274580335731415, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 0.08914868105515587, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 0.10493605115907274, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 0.09754196642685851, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 0.09794164668265389, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 0.09614308553157475, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 0.10513589128697043]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 0.10353717026378897]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 0.09754196642685851]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 0.09814148681055156]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 0.10193844924060752]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 0.10133892885691448]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 0.09614308553157475]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 0.09834132693844924]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 0.09714228617106316]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 0.10013988808952838]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
[1.9984012789768187E-5, 1.9984012789768187E-5, 0.025, 1.9984012789768187E-5]
