V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
,,,,,,,,,
[0.9999910000899991,[9.999900000999991E-7,[9.999900000999991E-7,[9.999900000999991E-7,[9.999900000999991E-7,[9.999900000999991E-7,[9.999900000999991E-7,[9.999900000999991E-7,[9.999900000999991E-7,[9.999900000999991E-7
0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06
1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06
1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06,0.999991,1.00E-06,1.00E-06,1.00E-06,1.00E-06
 9.999900000999991E-7], 9.999900000999991E-7], 9.999900000999991E-7], 9.999900000999991E-7], 9.999900000999991E-7], 0.9999910000899991], 9.999900000999991E-7], 9.999900000999991E-7], 9.999900000999991E-7], 9.999900000999991E-7]
